course_code,course_name,role,seed_reason,subject,department,pid,id,catalog_url
ASTR150,Concepts in Modern Astronomy,prerequisite,,ASTR,Department of Physics and Astronomy,HySJ0P67N,5c4fedddbb9b5e240081086d,https://www.uvic.ca/calendar/undergrad/index.php#/courses/HySJ0P67N
ASTR250,Introduction to Astrophysics,prerequisite,,ASTR,Department of Physics and Astronomy,BJDJ0D6Q4,66d2281c74171541059724aa,https://www.uvic.ca/calendar/undergrad/index.php#/courses/BJDJ0D6Q4
ASTR329,Introduction to Observational Astronomy,computing,keyword match: data analysis,ASTR,Department of Physics and Astronomy,SJgFJCvTQ4,5c4fede17ec31124000ce4b3,https://www.uvic.ca/calendar/undergrad/index.php#/courses/SJgFJCvTQ4
ATWP110,Academic Reading and Writing Support and Development,prerequisite,,ATWP,Academic and Technical Writing Program,HyHqCWran,68a35f14ef7b39ac5c733b8e,https://www.uvic.ca/calendar/undergrad/index.php#/courses/HyHqCWran
ATWP135,Academic Reading and Writing,prerequisite,,ATWP,Academic and Technical Writing Program,HJsvjl1TB,64e7b6f87c6606787bfdbca5,https://www.uvic.ca/calendar/undergrad/index.php#/courses/HJsvjl1TB
BCMB301A,Lab Techniques & Projects I,computing,keyword match: bioinformatics,BCMB,Department of Biochemistry and Microbiology,BJ--AwaQ4,5d1f702ad2bc1524008cb1ac,https://www.uvic.ca/calendar/undergrad/index.php#/courses/BJ--AwaQ4
BEM310,Digital Health,computing,"keyword match: data analytics, digital health",BEM,Department of Mechanical Engineering,SkCFeGj81e,677d9085dc2f463b08a56844,https://www.uvic.ca/calendar/undergrad/index.php#/courses/SkCFeGj81e
BEM412,Health Data Analytics,computing,"keyword match: computational, data analytics, data mining, machine learning, +1 more",BEM,Department of Mechanical Engineering,HJADFMoI1l,677d996581a472364390d22a,https://www.uvic.ca/calendar/undergrad/index.php#/courses/HJADFMoI1l
BEM415,Internet of Medical Things (IoMT),computing,keyword match: internet of things,BEM,Department of Mechanical Engineering,ry4khfoLyx,677d9bdc7d5b5d304484a824,https://www.uvic.ca/calendar/undergrad/index.php#/courses/ry4khfoLyx
BEM418,Clinical Trials and Research Methodologies,computing,keyword match: data analysis,BEM,Department of Mechanical Engineering,SyHz17jI1e,677d9f0cdc2f463b08a66bae,https://www.uvic.ca/calendar/undergrad/index.php#/courses/SyHz17jI1e
BEM430,Project Management Biomedical Devices and Digital Health,computing,keyword match: digital health,BEM,Department of Mechanical Engineering,H1ZnnfjUJe,677d9ca940d36eb000c361d3,https://www.uvic.ca/calendar/undergrad/index.php#/courses/H1ZnnfjUJe
BIOC299,Biochemistry for Non-Majors,prerequisite,,BIOC,Department of Biochemistry and Microbiology,Hk6-APpQE,5d1f70aa94e82e2400a23628,https://www.uvic.ca/calendar/undergrad/index.php#/courses/Hk6-APpQE
BIOC300A,General Biochemistry I,prerequisite,,BIOC,Department of Biochemistry and Microbiology,rJCZAvpQN,5d1f6e32d2bc1524008cb046,https://www.uvic.ca/calendar/undergrad/index.php#/courses/rJCZAvpQN
BIOC300B,General Biochemistry II,prerequisite,,BIOC,Department of Biochemistry and Microbiology,r10WCPpmV,5d1f7523d2bc1524008cb555,https://www.uvic.ca/calendar/undergrad/index.php#/courses/r10WCPpmV
BIOL150A,Modern Biology,prerequisite,,BIOL,Department of Biology,SkE7RwpQ4,5d1f70b689944f24002ad470,https://www.uvic.ca/calendar/undergrad/index.php#/courses/SkE7RwpQ4
BIOL150B,Modern Biology,prerequisite,,BIOL,Department of Biology,Syl4QAvp7N,5d1f6ae0fb68f3240022cebb,https://www.uvic.ca/calendar/undergrad/index.php#/courses/Syl4QAvp7N
BIOL184,Evolution and Biodiversity,prerequisite,,BIOL,Department of Biology,S1SXRvT74,613eb4dde872572b8c59a5ae,https://www.uvic.ca/calendar/undergrad/index.php#/courses/S1SXRvT74
BIOL186,Physiology and Cell Biology,prerequisite,,BIOL,Department of Biology,B1UmRDp7V,613ebd3f73306fb87583ddc9,https://www.uvic.ca/calendar/undergrad/index.php#/courses/B1UmRDp7V
BIOL215,Principles of Ecology,prerequisite,,BIOL,Department of Biology,BkKQAv6X4,5d1f6ea3d2bc1524008cb091,https://www.uvic.ca/calendar/undergrad/index.php#/courses/BkKQAv6X4
BIOL225,Principles of Cell Biology,prerequisite,,BIOL,Department of Biology,SJxFXRvTXE,5d1f70c9fb68f3240022d32c,https://www.uvic.ca/calendar/undergrad/index.php#/courses/SJxFXRvTXE
BIOL230,Principles of Genetics,prerequisite,,BIOL,Department of Biology,HJqQAwTX4,5d1f6f68fb68f3240022d231,https://www.uvic.ca/calendar/undergrad/index.php#/courses/HJqQAwTX4
BIOL330,Study Design and Data Analysis,computing,keyword match: data analysis,BIOL,Department of Biology,HkdEADp7N,61c9478d5cba7e826212eaef,https://www.uvic.ca/calendar/undergrad/index.php#/courses/HkdEADp7N
BIOL360,Cell Biology,prerequisite,,BIOL,Department of Biology,B1ZS0vpQN,5d1f6fb1d2bc1524008cb142,https://www.uvic.ca/calendar/undergrad/index.php#/courses/B1ZS0vpQN
BIOL361,Molecular Genetics and Genomics,prerequisite,,BIOL,Department of Biology,HyeZSRDaQE,5d1f6fb8d2bc1524008cb14a,https://www.uvic.ca/calendar/undergrad/index.php#/courses/HyeZSRDaQE
BIOL365,Animal Physiology,prerequisite,,BIOL,Department of Biology,B1MrRPa74,5d1f6f6689944f24002ad368,https://www.uvic.ca/calendar/undergrad/index.php#/courses/B1MrRPa74
BIOL367,Neurobiology: Molecules to Behaviour,prerequisite,,BIOL,Department of Biology,BJQr0vpm4,5d826bdca534d924002f043f,https://www.uvic.ca/calendar/undergrad/index.php#/courses/BJQr0vpm4
BIOL404,Sensory Biology,computing,keyword match: coding,BIOL,Department of Biology,SyIrAvpQ4,61ca320ae78e34f519e02243,https://www.uvic.ca/calendar/undergrad/index.php#/courses/SyIrAvpQ4
BIOL462,Community and Ecosystem,computing,keyword match: programming,BIOL,Department of Biology,SJwvCPaQE,5d1f6a2489944f24002acf26,https://www.uvic.ca/calendar/undergrad/index.php#/courses/SJwvCPaQE
BIOL469,Introduction to Computational Genomics,computing,"keyword match: bioinformatics, computational, programming",BIOL,Department of Biology,S1p4f2Ivel,68893234c4dc63ea26b9e1c2,https://www.uvic.ca/calendar/undergrad/index.php#/courses/S1p4f2Ivel
BME200,Molecular and Cellular Physiology for Engineers,prerequisite,,BME,Biomedical Engineering,HyCt0wpmE,5cbdf49467a5c324003b0b6a,https://www.uvic.ca/calendar/undergrad/index.php#/courses/HyCt0wpmE
BME201,Quantitative Human Physiology,prerequisite,,BME,Biomedical Engineering,BJk9CD6m4,5cbdf49604ce072400155e6d,https://www.uvic.ca/calendar/undergrad/index.php#/courses/BJk9CD6m4
BME320,Engineering Materials with BME applications,prerequisite,,BME,Biomedical Engineering,HJy9CvaXE,5d92392b2a7b69240048f635,https://www.uvic.ca/calendar/undergrad/index.php#/courses/HJy9CvaXE
BME335,Biosensors and Instrumentation,computing,keyword match: signal processing,BME,Biomedical Engineering,BJkcADaXN,669983eb67ca2b55c3b5295f,https://www.uvic.ca/calendar/undergrad/index.php#/courses/BJkcADaXN
BME350,Biomedical Engineering Design,computing,keyword match: graphics,BME,Biomedical Engineering,SJg9Av6m4,5cbdf49867a5c324003b0b6c,https://www.uvic.ca/calendar/undergrad/index.php#/courses/SJg9Av6m4
BME403,Medical Image Processing,computing,"keyword match: computer-aided work, image processing, visualization",BME,Biomedical Engineering,B1f9CPTX4,5e2b4b9a05b8c125006a6f94,https://www.uvic.ca/calendar/undergrad/index.php#/courses/B1f9CPTX4
BME448,Introduction to Musculoskeletal Biomechanics,computing,"keyword match: computational, computer-assisted work",BME,Biomedical Engineering,SJJCn21dB,66b54e8c3436c329ce3befa3,https://www.uvic.ca/calendar/undergrad/index.php#/courses/SJJCn21dB
CHEM091,Introduction to Chemistry,prerequisite,,CHEM,Department of Chemistry,Hk0p0w6XV,5e50238ed48ad3250088989f,https://www.uvic.ca/calendar/undergrad/index.php#/courses/Hk0p0w6XV
CHEM101,Fundamentals of Chemistry from Atoms to Materials,prerequisite,,CHEM,Department of Chemistry,r1e06RP6XN,5d781350a50c3624007f55c8,https://www.uvic.ca/calendar/undergrad/index.php#/courses/r1e06RP6XN
CHEM102,Chemical Reactivity Fundamentals with Environmental Applications,prerequisite,,CHEM,Department of Chemistry,r11A0D6XN,5f6e45ab4272fc00267b50df,https://www.uvic.ca/calendar/undergrad/index.php#/courses/r11A0D6XN
CHEM150,Engineering Chemistry,prerequisite,,CHEM,Department of Chemistry,BybRRv6XV,5d1f6e3494e82e2400a23437,https://www.uvic.ca/calendar/undergrad/index.php#/courses/BybRRv6XV
CHEM212,Introduction to Quantitative Analysis,computing,keyword match: data analysis,CHEM,Department of Chemistry,Syz0CvTmE,5d1f73d0fb68f3240022d561,https://www.uvic.ca/calendar/undergrad/index.php#/courses/Syz0CvTmE
CHEM231,Introduction to Organic Chemistry,prerequisite,,CHEM,Department of Chemistry,HkVACvpXV,5d1f6e3689944f24002ad28a,https://www.uvic.ca/calendar/undergrad/index.php#/courses/HkVACvpXV
CHEM234,Organic Chemistry with Biological Applications,prerequisite,,CHEM,Department of Chemistry,HJWiWKp7N,5e1f680100547c25005dc721,https://www.uvic.ca/calendar/undergrad/index.php#/courses/HJWiWKp7N
CHEM245,Introduction to Thermodynamics,computing,keyword match: numerical methods,CHEM,Department of Chemistry,rJrRRvTQV,5d1f753794e82e2400a2394d,https://www.uvic.ca/calendar/undergrad/index.php#/courses/rJrRRvTQV
CHEM347,Quantum Chemistry,prerequisite,,CHEM,Department of Chemistry,rJM1k_TXN,5d1f774c94e82e2400a23abc,https://www.uvic.ca/calendar/undergrad/index.php#/courses/rJM1k_TXN
CHEM477,Computational Chemistry,computing,keyword match: computational,CHEM,Department of Chemistry,SyEoWKpXV,5d1f6d49fb68f3240022d083,https://www.uvic.ca/calendar/undergrad/index.php#/courses/SyEoWKpXV
CIVE200,Engineering Drawing,computing,keyword match: computer-aided work,CIVE,Department of Civil Engineering,ByeIm1_a74,67acdc3ef95e9ddc8010fd1a,https://www.uvic.ca/calendar/undergrad/index.php#/courses/ByeIm1_a74
CIVE202,Engineering Applications in Earth Systems,prerequisite,,CIVE,Department of Civil Engineering,H19bGmHw2,6487a201958ada7ee8e9b765,https://www.uvic.ca/calendar/undergrad/index.php#/courses/H19bGmHw2
CIVE210,Sustainability in Civil Engineering,prerequisite,,CIVE,Department of Civil Engineering,rkPm1dpXV,5cbdf4a304ce072400155e75,https://www.uvic.ca/calendar/undergrad/index.php#/courses/rkPm1dpXV
CIVE220,Mechanics of Solids I,prerequisite,,CIVE,Department of Civil Engineering,HJwQy_pX4,66974c340a8ca7ebf44b3fe3,https://www.uvic.ca/calendar/undergrad/index.php#/courses/HJwQy_pX4
CIVE250,Structural Analysis,prerequisite,,CIVE,Department of Civil Engineering,ry5z6SIk2,66e0ae3fd7dff994bff6e88f,https://www.uvic.ca/calendar/undergrad/index.php#/courses/ry5z6SIk2
CIVE285,Civil Engineering Materials,prerequisite,,CIVE,Department of Civil Engineering,r1_Xk_6mE,61df160980fcdb4b4eb84a1e,https://www.uvic.ca/calendar/undergrad/index.php#/courses/r1_Xk_6mE
CIVE299,Geomatics Engineering,computing,"keyword match: geographic information systems, GIS, remote sensing",CIVE,Department of Civil Engineering,SJqXkuaQE,5dbb46fcbac7ce2400ade64b,https://www.uvic.ca/calendar/undergrad/index.php#/courses/SJqXkuaQE
CIVE310,Introduction to Environmental Engineering,computing,keyword match: systems analysis,CIVE,Department of Civil Engineering,rkiXJuamN,64a705f9b0f3602396b189f7,https://www.uvic.ca/calendar/undergrad/index.php#/courses/rkiXJuamN
CIVE322,Dynamics,prerequisite,,CIVE,Department of Civil Engineering,HJ9NrnPPn,648a35332231157ab16fcc1d,https://www.uvic.ca/calendar/undergrad/index.php#/courses/HJ9NrnPPn
CIVE340,Sustainable Water Resources,computing,"keyword match: simulation, software",CIVE,Department of Civil Engineering,BJlsQJ_aQN,673f89c20f8414c64790ab92,https://www.uvic.ca/calendar/undergrad/index.php#/courses/BJlsQJ_aQN
CIVE360,Sustainable Transportation Systems,prerequisite,,CIVE,Department of Civil Engineering,BJaQJ_T7N,61e8a78e1f45da5bbfd6167d,https://www.uvic.ca/calendar/undergrad/index.php#/courses/BJaQJ_T7N
CIVE385,Geotechnical Engineering,prerequisite,,CIVE,Department of Civil Engineering,SyCX1_pQV,6850596d40450c93d6cd2479,https://www.uvic.ca/calendar/undergrad/index.php#/courses/SyCX1_pQV
CIVE395,Building Science Fundamentals,prerequisite,,CIVE,Department of Civil Engineering,HJUuqB8y3,6408ca6ee357b66c77efa614,https://www.uvic.ca/calendar/undergrad/index.php#/courses/HJUuqB8y3
CIVE410,Solid Waste and Air Pollution,computing,keyword match: software,CIVE,Department of Civil Engineering,B1JNJ_6Q4,6322444dd04db1702605ff37,https://www.uvic.ca/calendar/undergrad/index.php#/courses/B1JNJ_6Q4
CIVE411,Resilient Smart Cities,computing,keyword match: cyber systems/security,CIVE,Department of Civil Engineering,BkJEyOpQV,61bbb290c46bd8e8117f7d7a,https://www.uvic.ca/calendar/undergrad/index.php#/courses/BkJEyOpQV
CIVE421,Advanced Structural Analysis,computing,keyword match: finite element methods,CIVE,Department of Civil Engineering,BkxVydT7E,64aed438f1c053e501598891,https://www.uvic.ca/calendar/undergrad/index.php#/courses/BkxVydT7E
CIVE422,Finite Element Method,computing,"keyword match: computational, finite element methods, numerical methods",CIVE,Department of Civil Engineering,S1Y2K5RKY,66883ad398fcdc0bda6f9216,https://www.uvic.ca/calendar/undergrad/index.php#/courses/S1Y2K5RKY
CIVE445,Groundwater Hydrology,computing,keyword match: numerical methods,CIVE,Department of Civil Engineering,BJMVy_TQ4,5d3b67a749b1562400191b45,https://www.uvic.ca/calendar/undergrad/index.php#/courses/BJMVy_TQ4
CIVE452,Engineering for Earthquakes and Extreme Events,computing,keyword match: simulation,CIVE,Department of Civil Engineering,Sy7EkdaXN,64aed5c38786ac11b21e6f0e,https://www.uvic.ca/calendar/undergrad/index.php#/courses/Sy7EkdaXN
CIVE453,Building and District Energy Simulation,computing,"keyword match: computational, optimization, simulation",CIVE,Department of Civil Engineering,HJE4ydamE,64aed682c7ae4f7609f62207,https://www.uvic.ca/calendar/undergrad/index.php#/courses/HJE4ydamE
CIVE465,Energy Systems Decarbonization,computing,"keyword match: optimization, Python, visualization",CIVE,Department of Civil Engineering,rkMsWktGH,64aedfc450f09902ab7e9808,https://www.uvic.ca/calendar/undergrad/index.php#/courses/rkMsWktGH
CIVE467,Data Analysis and Building Energy,computing,"keyword match: data analysis, machine learning, optimization",CIVE,Department of Civil Engineering,rJklZGW70,664390e6645fe0a0df47d780,https://www.uvic.ca/calendar/undergrad/index.php#/courses/rJklZGW70
CSC100,Elementary Computing,computing,CSC subject,CSC,Department of Computer Science,r1xcyOamN,5cbdf4df04ce072400155eba,https://www.uvic.ca/calendar/undergrad/index.php#/courses/r1xcyOamN
CSC103,Introductory Programming and Software Development,computing,CSC subject,CSC,Department of Computer Science,SJxxcJdTmE,5cbdf4e02a310a240068a4f0,https://www.uvic.ca/calendar/undergrad/index.php#/courses/SJxxcJdTmE
CSC105,Computers and Information Processing,computing,CSC subject,CSC,Department of Computer Science,HJZck_TmV,5e502edae9601d2500427f1a,https://www.uvic.ca/calendar/undergrad/index.php#/courses/HJZck_TmV
CSC106,The Practice of Computer Science,computing,CSC subject,CSC,Department of Computer Science,SyZ5JOaQV,5cbdf4e22a310a240068a4f3,https://www.uvic.ca/calendar/undergrad/index.php#/courses/SyZ5JOaQV
CSC110,Fundamentals of Programming I,computing,CSC subject,CSC,Department of Computer Science,rkgWq1OpQE,5cbdf4e356bbef2400c2efcf,https://www.uvic.ca/calendar/undergrad/index.php#/courses/rkgWq1OpQE
CSC111,Fundamentals of Programming with Engineering Applications,computing,CSC subject,CSC,Department of Computer Science,rJGckOp7E,5cbdf4e404ce072400155ec0,https://www.uvic.ca/calendar/undergrad/index.php#/courses/rJGckOp7E
CSC115,Fundamentals of Programming II,computing,CSC subject,CSC,Department of Computer Science,Hkm5kuT7V,5cbdf4e567a5c324003b0bb6,https://www.uvic.ca/calendar/undergrad/index.php#/courses/Hkm5kuT7V
CSC116,Fundamentals of Programming with Engineering Applications II,computing,CSC subject,CSC,Department of Computer Science,rJ7qJupQV,5cbdf4e667a5c324003b0bb9,https://www.uvic.ca/calendar/undergrad/index.php#/courses/rJ7qJupQV
CSC130,World Wide Web and Mobile Applications,computing,CSC subject,CSC,Department of Computer Science,B149kOaX4,62b08d29f8827f955269b7f6,https://www.uvic.ca/calendar/undergrad/index.php#/courses/B149kOaX4
CSC167,"Game Strategy, Interaction and Design",computing,CSC subject,CSC,Department of Computer Science,SJNckd67E,6117069cfff34bb6b0289910,https://www.uvic.ca/calendar/undergrad/index.php#/courses/SJNckd67E
CSC205,2D Computer Graphics and Image Processing,computing,CSC subject,CSC,Department of Computer Science,Syd5kOaQV,5cbdf4e904ce072400155ec5,https://www.uvic.ca/calendar/undergrad/index.php#/courses/Syd5kOaQV
CSC225,Algorithms and Data Structures I,computing,CSC subject,CSC,Department of Computer Science,Bk_cy_a7V,5cbdf4ea67a5c324003b0bbd,https://www.uvic.ca/calendar/undergrad/index.php#/courses/Bk_cy_a7V
CSC226,Algorithms and Data Structures II,computing,CSC subject,CSC,Department of Computer Science,HytcJuaQV,6307b1bdfe51a12031b36bfa,https://www.uvic.ca/calendar/undergrad/index.php#/courses/HytcJuaQV
CSC230,Introduction to Computer Architecture,computing,CSC subject,CSC,Department of Computer Science,HJeY5kOpXN,5cbdf4ec67a5c324003b0bc3,https://www.uvic.ca/calendar/undergrad/index.php#/courses/HJeY5kOpXN
CSC299,Undergraduate Directed Project,computing,CSC subject,CSC,Department of Computer Science,rk29yO6XE,5e502f22e9601d2500427f20,https://www.uvic.ca/calendar/undergrad/index.php#/courses/rk29yO6XE
CSC305,Introduction to Computer Graphics,computing,CSC subject,CSC,Department of Computer Science,H1p5ku6XV,634f20f2a51adb55db67bb43,https://www.uvic.ca/calendar/undergrad/index.php#/courses/H1p5ku6XV
CSC320,Foundations of Computer Science,computing,CSC subject,CSC,Department of Computer Science,rJTqk_aXN,5cbdf4ef67a5c324003b0bc6,https://www.uvic.ca/calendar/undergrad/index.php#/courses/rJTqk_aXN
CSC322,Logic and Programming,computing,CSC subject,CSC,Department of Computer Science,Sy0cy_6mV,63ed36c0413c52641571a016,https://www.uvic.ca/calendar/undergrad/index.php#/courses/Sy0cy_6mV
CSC330,Programming Languages,computing,CSC subject,CSC,Department of Computer Science,SJJokdTQ4,64b57143bb24af4786cf4c0f,https://www.uvic.ca/calendar/undergrad/index.php#/courses/SJJokdTQ4
CSC349A,Numerical Analysis,computing,CSC subject,CSC,Department of Computer Science,ryelsJdp7N,5cbdf4f167a5c324003b0bcd,https://www.uvic.ca/calendar/undergrad/index.php#/courses/ryelsJdp7N
CSC350,Computer Architecture,computing,CSC subject,CSC,Department of Computer Science,rJejk_p7V,5e502f5044bef625003d60a1,https://www.uvic.ca/calendar/undergrad/index.php#/courses/rJejk_p7V
CSC355,Digital Logic and Computer Organization,computing,CSC subject,CSC,Department of Computer Science,rk-i1uTmV,5cbdf4f404ce072400155ed6,https://www.uvic.ca/calendar/undergrad/index.php#/courses/rk-i1uTmV
CSC360,Operating Systems,computing,CSC subject,CSC,Department of Computer Science,SkWiJ_6mE,634f1b98705f4b6ffcb5e403,https://www.uvic.ca/calendar/undergrad/index.php#/courses/SkWiJ_6mE
CSC361,Computer Communications and Networks,computing,CSC subject,CSC,Department of Computer Science,ryzikO6QN,5e50307b7ea20d2500081e92,https://www.uvic.ca/calendar/undergrad/index.php#/courses/ryzikO6QN
CSC370,Database Systems,computing,CSC subject,CSC,Department of Computer Science,BklGo1_T74,634f189b41b5edffbabee0ae,https://www.uvic.ca/calendar/undergrad/index.php#/courses/BklGo1_T74
CSC371,Data Management and Visualization,computing,CSC subject,CSC,Department of Computer Science,S1XoJ_aQN,6331195802f413bf621df3f7,https://www.uvic.ca/calendar/undergrad/index.php#/courses/S1XoJ_aQN
CSC375,Introduction to Systems Analysis,computing,CSC subject,CSC,Department of Computer Science,B1VoyOpm4,61c6161804d13a5d0556482f,https://www.uvic.ca/calendar/undergrad/index.php#/courses/B1VoyOpm4
CSC402,Systems for Massive Datasets,computing,CSC subject,CSC,Department of Computer Science,ryPurG0Fq,62b0956f2ee9499c8d2b748c,https://www.uvic.ca/calendar/undergrad/index.php#/courses/ryPurG0Fq
CSC411,Information Visualization,computing,CSC subject,CSC,Department of Computer Science,SJCKCpvSv,5f6a4e862b2fb60026ca7d1b,https://www.uvic.ca/calendar/undergrad/index.php#/courses/SJCKCpvSv
CSC412,Computing for Cognitive Augmentation,computing,CSC subject,CSC,Department of Computer Science,HJKHqi2Xs,634f2a4141b5ed34a9bee180,https://www.uvic.ca/calendar/undergrad/index.php#/courses/HJKHqi2Xs
CSC413,Designing Creativity Support Tools,computing,CSC subject,CSC,Department of Computer Science,Skz0Xj2Qi,634f23cafc58c34a7370ddc2,https://www.uvic.ca/calendar/undergrad/index.php#/courses/Skz0Xj2Qi
CSC421,Introduction to Artificial Intelligence,computing,CSC subject,CSC,Department of Computer Science,HyeHjkO674,5e5031d5e9601d2500427f77,https://www.uvic.ca/calendar/undergrad/index.php#/courses/HyeHjkO674
CSC423,Randomized Algorithms,computing,CSC subject,CSC,Department of Computer Science,HkIo1OaXN,61170bad7e95a0372a46f357,https://www.uvic.ca/calendar/undergrad/index.php#/courses/HkIo1OaXN
CSC424,Computational Complexity,computing,CSC subject,CSC,Department of Computer Science,BkO90c3M2,643f1e8f9d59270bcbea38ca,https://www.uvic.ca/calendar/undergrad/index.php#/courses/BkO90c3M2
CSC425,Analysis of Algorithms,computing,CSC subject,CSC,Department of Computer Science,BkDo1d67E,61170c62d7b1f000d13b1b75,https://www.uvic.ca/calendar/undergrad/index.php#/courses/BkDo1d67E
CSC426,Computational Geometry,computing,CSC subject,CSC,Department of Computer Science,rkdsyd6mV,61170dae7bfd58753b3bbcaa,https://www.uvic.ca/calendar/undergrad/index.php#/courses/rkdsyd6mV
CSC427,Advanced Topics in Bioinformatics,computing,CSC subject,CSC,Department of Computer Science,S1feznBho,63d831e9d0c73d7e1ed2fb83,https://www.uvic.ca/calendar/undergrad/index.php#/courses/S1feznBho
CSC428,Computational Biology Algorithms,computing,CSC subject,CSC,Department of Computer Science,S1dok_6QN,633111a7ac81d0b3bd2e73a4,https://www.uvic.ca/calendar/undergrad/index.php#/courses/S1dok_6QN
CSC428A,Combinatorial Algorithms,computing,CSC subject,CSC,Department of Computer Science,By_i1uaXN,61170e2bd7b1f0b1943b1b98,https://www.uvic.ca/calendar/undergrad/index.php#/courses/By_i1uaXN
CSC429,Cryptography,computing,CSC subject,CSC,Department of Computer Science,HkFsyupX4,63efaa7eb62378059b271e06,https://www.uvic.ca/calendar/undergrad/index.php#/courses/HkFsyupX4
CSC431,Machine Learning Theory,computing,CSC subject,CSC,Department of Computer Science,SkQ16kAXi,63506cdbe1cd0aa2f97d9aae,https://www.uvic.ca/calendar/undergrad/index.php#/courses/SkQ16kAXi
CSC435,Compiler Construction,computing,CSC subject,CSC,Department of Computer Science,S1xFo1_a7V,61170f03d7b1f0c2ec3b1ba8,https://www.uvic.ca/calendar/undergrad/index.php#/courses/S1xFo1_a7V
CSC445,Operations Research: Linear Programming,computing,CSC subject,CSC,Department of Computer Science,rk9i1dpXE,61170f7858dadc6bf7d25095,https://www.uvic.ca/calendar/undergrad/index.php#/courses/rk9i1dpXE
CSC446,Simulations in Operations Research,computing,CSC subject,CSC,Department of Computer Science,HJqi1_pXE,61533241112b602b84cb4a96,https://www.uvic.ca/calendar/undergrad/index.php#/courses/HJqi1_pXE
CSC449,Numerical Linear Algebra,computing,CSC subject,CSC,Department of Computer Science,r1no1OamN,61533346112b602b13cb4aa6,https://www.uvic.ca/calendar/undergrad/index.php#/courses/r1no1OamN
CSC460,Design and Analysis of Real-time Systems,computing,CSC subject,CSC,Department of Computer Science,S1xCiyOTmV,615335416baae35305a0c040,https://www.uvic.ca/calendar/undergrad/index.php#/courses/S1xCiyOTmV
CSC461,Multimedia Systems,computing,CSC subject,CSC,Department of Computer Science,B1RjJOpXV,63067effcc72fd463d4a46f8,https://www.uvic.ca/calendar/undergrad/index.php#/courses/B1RjJOpXV
CSC462,Distributed Computing,computing,CSC subject,CSC,Department of Computer Science,B1kh1_pmN,630680adb8c67c9e6e8fb678,https://www.uvic.ca/calendar/undergrad/index.php#/courses/B1kh1_pmN
CSC463,Wireless and Mobile Networks,computing,CSC subject,CSC,Department of Computer Science,rky3J_pXN,63068273fe51a1f017b35306,https://www.uvic.ca/calendar/undergrad/index.php#/courses/rky3J_pXN
CSC464,Concurrency,computing,CSC subject,CSC,Department of Computer Science,rkg2ydTmN,643ec1bad8bc27217641823d,https://www.uvic.ca/calendar/undergrad/index.php#/courses/rkg2ydTmN
CSC466,Overlay and Peer-to-Peer Networking,computing,CSC subject,CSC,Department of Computer Science,r1l21daXE,63068322b8c67c86268fb6a9,https://www.uvic.ca/calendar/undergrad/index.php#/courses/r1l21daXE
CSC467,"Switching, Network Traffic and Quality of Service",computing,CSC subject,CSC,Department of Computer Science,rJZnyOTm4,630682d119462f7ef41c0ecb,https://www.uvic.ca/calendar/undergrad/index.php#/courses/rJZnyOTm4
CSC471,Fundamentals of Computer Rendering,computing,CSC subject,CSC,Department of Computer Science,r1Whk_6QN,5cbdf51267a5c324003b0bdf,https://www.uvic.ca/calendar/undergrad/index.php#/courses/r1Whk_6QN
CSC472,Fundamentals of Computer Modeling,computing,CSC subject,CSC,Department of Computer Science,HyG21d674,65ea026dc55160335eedeff5,https://www.uvic.ca/calendar/undergrad/index.php#/courses/HyG21d674
CSC473,Fundamentals of Computer Animation,computing,CSC subject,CSC,Department of Computer Science,rJf3kupXE,61533e1c9af3d3b267099d85,https://www.uvic.ca/calendar/undergrad/index.php#/courses/rJf3kupXE
CSC475,Music Retrieval Techniques,computing,CSC subject,CSC,Department of Computer Science,rkQhyuamV,5d680bed78e11a24005d3dc5,https://www.uvic.ca/calendar/undergrad/index.php#/courses/rkQhyuamV
CSC482A,Topics in Algorithms,computing,CSC subject,CSC,Department of Computer Science,rkDn1uTX4,5e503312d48ad32500889a0d,https://www.uvic.ca/calendar/undergrad/index.php#/courses/rkDn1uTX4
CSC482B,Topics in Algorithms,computing,CSC subject,CSC,Department of Computer Science,rk_nJdaQV,5e50337ee9601d2500427f9c,https://www.uvic.ca/calendar/undergrad/index.php#/courses/rk_nJdaQV
CSC482C,Topics in Algorithms,computing,CSC subject,CSC,Department of Computer Science,ByO2yOp74,5e5033c2e9601d2500427fa6,https://www.uvic.ca/calendar/undergrad/index.php#/courses/ByO2yOp74
CSC482D,Topics in Algorithms,computing,CSC subject,CSC,Department of Computer Science,rJFhJdpXN,5e5033f77ea20d2500081ee3,https://www.uvic.ca/calendar/undergrad/index.php#/courses/rJFhJdpXN
CSC483A,Topics in Programming Methodology,computing,CSC subject,CSC,Department of Computer Science,BJ5hJuTQE,61534483dd630817a55b80d9,https://www.uvic.ca/calendar/undergrad/index.php#/courses/BJ5hJuTQE
CSC483B,Topics in Programming Methodology,computing,CSC subject,CSC,Department of Computer Science,S1s3yOTQE,5e50353fd48ad32500889a41,https://www.uvic.ca/calendar/undergrad/index.php#/courses/S1s3yOTQE
CSC483C,Topics in Programming Methodology,computing,CSC subject,CSC,Department of Computer Science,rko2kdaX4,5e503578e9601d2500427fd9,https://www.uvic.ca/calendar/undergrad/index.php#/courses/rko2kdaX4
